place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJZUdtiDkz_RIRZ1qp5OILUxU,Bardo National Museum,Artefacts de Carthage et collection de mosaiques romaines la plus importante au monde dans un cadre grandiose.,False,2444,http://www.bardomuseum.tn/,Bardo National Museum (proprietaire),https://www.google.com/maps/contrib/105899130589857135201,https://lh5.googleusercontent.com/p/AF1QipNOYpCbkavk7kh-3_NeMQ2s12Dbv1ZChdLntn7w=w408-h275-k-no,Musee national,Musee national,4.5,09:30-16:30,lundi,,"Bardo National Museum, RN 7, Tunis","mosaique romaine, histoire de la tunisie, palais, islamique, civilisations, 2015, 1888, continent, virgile, terrorisme",https://www.google.com/maps/place/Bardo+National+Museum/data=!4m7!3m6!1s0x12fd3339886d4765:0x15530be2e4a95a67!8m2!3d36.8093547!4d10.1342091!16s%2Fm%2F047prs0!19sChIJZUdtiDkz_RIRZ1qp5OILUxU?authuser=0&hl=fr&rclk=1
ChIJ9XSAvzVL_RIRDQxtkSXRWE0,Musee oceanographique Dar El Hout,Centre de recherche marine et musee historique comprenant des aquariums et proposant des expositions d'histoire naturelle.,False,268,http://www.instm.agrinet.tn/,Musee oceanographique Dar El Hout (proprietaire),https://www.google.com/maps/contrib/115354436011996267714,https://lh5.googleusercontent.com/p/AF1QipOxDrsIPDI5Uo1hf7ENxo3_okcUWlUAhbC_-xNN=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.1,10:00-18:00,lundi,71 730 420,"Musee oceanographique Dar El Hout, Salammbo","poissons, enfants, 1924, especes, riche, 20eme siecle, je, lundi, batiment, adultes",https://www.google.com/maps/place/Mus%C3%A9e+oc%C3%A9anographique+Dar+El+Hout/data=!4m7!3m6!1s0x12fd4b35bf8074f5:0x4d58d125916d0c0d!8m2!3d36.8433091!4d10.3258019!16s%2Fg%2F12156bjs!19sChIJ9XSAvzVL_RIRDQxtkSXRWE0?authuser=0&hl=fr&rclk=1
ChIJeZP8AK4z_RIRZ9wpLKMYf_Q,Palais Ksar Said,,False,138,,Palais Ksar Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGHgm5vVyVTBsMwokPDUSiSRTOnhhZK9qisM08=w408-h544-k-no,Musee d'histoire,"Musee d'histoire, Musee, Attraction touristique",4.1,10:00-18:00,"mardi, samedi, dimanche",71 507 351,"Palais Ksar Said, Rue de I'Evacuation",,https://www.google.com/maps/place/Palais+Ksar+Sa%C3%AFd/data=!4m7!3m6!1s0x12fd33ae00fc9379:0xf47f18a32c29dc67!8m2!3d36.8110152!4d10.1312743!16s%2Fg%2F12nvp2vkl!19sChIJeZP8AK4z_RIRZ9wpLKMYf_Q?authuser=0&hl=fr&rclk=1
ChIJb5J_E280_RIRgRyztXigv24,Musee de la Monnaie,,False,83,,Musee de la Monnaie (proprietaire),https://www.google.com/maps/contrib/104211581713052996306,https://lh5.googleusercontent.com/p/AF1QipOXml2FNO-uEHpPRKhHQysupFpB_NfvFyyTYMZf=w426-h240-k-no,Musee,"Musee, Attraction touristique",4.5,09:30-16:30,lundi,71 122 563,"Musee de la Monnaie, Ave Mohamed V, Tunis","l'histoire, collection, numismatique, pieces, billets",https://www.google.com/maps/place/Mus%C3%A9e+de+la+Monnaie/data=!4m7!3m6!1s0x12fd346f137f926f:0x6ebfa078b5b31c81!8m2!3d36.8046526!4d10.1853425!16s%2Fg%2F122cc12n!19sChIJb5J_E280_RIRgRyztXigv24?authuser=0&hl=fr&rclk=1
ChIJDSFcO4oz_RIRi18clIm5cWg,Musee de la Ville de Tunis - mtHf mdyn@ twns,,False,18,http://www.commune-tunis.gov.tn/,Musee de la Ville de Tunis - mtHf mdyn@ twns (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-UG1Wepz_xrsYbskV9BSfl14Vbv7415sMmfV6=w408-h306-k-no,Musee,"Musee, Attraction touristique",4.1,,,71 561 780,"R529+JC3 Musee de la Ville de Tunis - mtHf mdyn@ twns, Tunis",,https://www.google.com/maps/place/Mus%C3%A9e+de+la+Ville+de+Tunis+-+%D9%85%D8%AA%D8%AD%D9%81+%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%AA%D9%88%D9%86%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x12fd338a3b5c210d:0x6871b989941c5f8b!8m2!3d36.8015119!4d10.1685574!16s%2Fg%2F11hz_zbb9g!19sChIJDSFcO4oz_RIRi18clIm5cWg?authuser=0&hl=fr&rclk=1
ChIJXQ2rUfMz_RIRAfWPRl1n7Jc,Musee national de l'Education,,False,14,,Musee national de l'Education (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP4WaTy0OtSeous0hsbEW0rlQ_XH9QHDWTCdfkN=w408-h544-k-no,Musee,"Musee, Attraction touristique",4.1,09:00-17:00,dimanche,71 573 149,"Musee national de l'Education, 130, 1006, 130 Bd du 9 Avril 1938, Tunis",informations,https://www.google.com/maps/place/Mus%C3%A9e+national+de+l%27%C3%89ducation/data=!4m7!3m6!1s0x12fd33f351ab0d5d:0x97ec675d468ff501!8m2!3d36.8011861!4d10.1643557!16s%2Fg%2F11f3n1xlj5!19sChIJXQ2rUfMz_RIRAfWPRl1n7Jc?authuser=0&hl=fr&rclk=1
ChIJqdd3rTQ1_RIR6UBqpglHKuY,Caserne El Attarine qshl@ l`Tryn,,False,10,,Caserne El Attarine qshl@ l`Tryn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNi1mb0toRK605icVJM1hDFkJ6lW0HR8_6mme16=w408-h544-k-no,Musee historique,Musee historique,4.4,,,,"Q5XC+4PF Caserne El Attarine qshl@ l`Tryn, Souk Attarine, Tunis",bibliotheque,https://www.google.com/maps/place/Caserne+El+Attarine+%D9%82%D8%B4%D9%84%D8%A9+%D8%A7%D9%84%D8%B9%D8%B7%D8%A7%D8%B1%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fd3534ad77d7a9:0xe62a4709a66a40e9!8m2!3d36.797815!4d10.1718066!16s%2Fg%2F11lgx9471_!19sChIJqdd3rTQ1_RIR6UBqpglHKuY?authuser=0&hl=fr&rclk=1
ChIJkZDJBBIz_RIR1vhP8KA85VU,Talan Expo,,False,8,,Talan Expo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOKSjCJxj8b2mIeAbpaExMTeU8eM4tuP81UZ8D4=w426-h240-k-no,Musee,Musee,4.9,,,,"Talan Expo, Residence BASMA, P5, Denden 2011",,https://www.google.com/maps/place/Talan+Expo/data=!4m7!3m6!1s0x12fd331204c99091:0x55e53ca0f04ff8d6!8m2!3d36.7998005!4d10.1153918!16s%2Fg%2F11vdvs69b_!19sChIJkZDJBBIz_RIR1vhP8KA85VU?authuser=0&hl=fr&rclk=1
ChIJE33zzaw7_RIRJiZ6FZWmBes,Zaghouan Aqueduct,,False,6,,Zaghouan Aqueduct (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMB2wLpvSVgM-TElgiCJSM26pEBhg3fnZEKuK0S=w408-h306-k-no,Musee,Musee,4.5,,,,"M42M+47P Zaghouan Aqueduct, Unnamed Road, Mohammedia",,https://www.google.com/maps/place/Zaghouan+Aqueduct/data=!4m7!3m6!1s0x12fd3baccdf37d13:0xeb05a695157a2626!8m2!3d36.6503463!4d10.1331941!16s%2Fg%2F11f3n6kpgp!19sChIJE33zzaw7_RIRJiZ6FZWmBes?authuser=0&hl=fr&rclk=1
ChIJq6qquvUz_RIRSPSUj5sRmDc,mtHf m`ql lz`ym,,False,6,,mtHf m`ql lz`ym (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNQX31ssPq3kHTqVXMH8HOmQhAmaIdatZRiV2KF=w408-h544-k-no,Musee,Musee,4,,,,"Q5V8+786 mtHf m`ql lz`ym, Rue Jamaa Houa, Tunis",,https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D9%85%D8%B9%D9%82%D9%84+%D8%A7%D9%84%D8%B2%D8%B9%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12fd33f5baaaaaab:0x3798119b8f94f448!8m2!3d36.7931623!4d10.1657706!16s%2Fg%2F1232bwc0!19sChIJq6qquvUz_RIRSPSUj5sRmDc?authuser=0&hl=fr&rclk=1
ChIJx-NQyicz_RIRBIFei5-f3yY,"Palais Ksar-Said, palais des Lettres et des Arts",,False,5,,"Palais Ksar-Said, palais des Lettres et des Arts (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipMn9OGPmFp2tU1yYrN5E_DWask3NS_vFXQetk1P=w426-h240-k-no,Musee,Musee,4,,,71 503 344,"R46H+GVF Palais Ksar-Said, palais des Lettres et des Arts, Tunis",,"https://www.google.com/maps/place/Palais+Ksar-Sa%C3%AFd,+palais+des+Lettres+et+des+Arts/data=!4m7!3m6!1s0x12fd3327ca50e3c7:0x26df9f9f8b5e8104!8m2!3d36.8113007!4d10.1296581!16s%2Fg%2F11h0mv78np!19sChIJx-NQyicz_RIRBIFei5-f3yY?authuser=0&hl=fr&rclk=1"
ChIJxQFddi4z_RIRM28J6mWThDk,mtHf ldymqrTy@ - Museum of Democracy,,False,4,,mtHf ldymqrTy@ - Museum of Democracy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMZiojrziRSzW4Bhx_PDU5jo0sc2Kw5jRE7GGfs=w408-h544-k-no,Musee,Musee,5,,,,"mtHf ldymqrTy@ - Museum of Democracy, 76 Bd Bab Benet, Tunis 1020",,https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9+-+Museum+of+Democracy%E2%80%AD/data=!4m7!3m6!1s0x12fd332e765d01c5:0x39849365ea096f33!8m2!3d36.7986986!4d10.1678756!16s%2Fg%2F11mk146n3d!19sChIJxQFddi4z_RIRM28J6mWThDk?authuser=0&hl=fr&rclk=1
ChIJSXxqdiE1_RIRoLF634KY8cg,Medina di Tunisi,,False,4,,Medina di Tunisi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPFpMy_MsPsVrLhWvAHAzlvD3xeS9BBq-DYVdL-=w408-h306-k-no,Musee en plein air,Musee en plein air,4.5,,,,"Q5XC+FC9 Medina di Tunisi, Souk El Nhes, Tunis",,https://www.google.com/maps/place/Medina+di+Tunisi/data=!4m7!3m6!1s0x12fd3521766a7c49:0xc8f19882df7ab1a0!8m2!3d36.7986742!4d10.1710941!16s%2Fg%2F11vj620j2n!19sChIJSXxqdiE1_RIRoLF634KY8cg?authuser=0&hl=fr&rclk=1
ChIJZ5F9RB1P_RIRXnVRZp-ZdiY,Memorial Aux Victimes D'Octobre 1985,,False,3,,Memorial Aux Victimes D'Octobre 1985 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPPPxQm_3yG7s7XCNaiIKcX0-0wNb4NjYVrCvbn=w408-h544-k-no,Musee,Musee,5,,,,"P98C+R4H Memorial Aux Victimes D'Octobre 1985, shr` shhd Gr@ 'ktwbr1985,, Hammam-Lif",,https://www.google.com/maps/place/M%C3%A9morial+Aux+Victimes+D%27Octobre+1985/data=!4m7!3m6!1s0x12fd4f1d447d9167:0x2676999f6651755e!8m2!3d36.7170674!4d10.3703548!16s%2Fg%2F11h51c7jv8!19sChIJZ5F9RB1P_RIRXnVRZp-ZdiY?authuser=0&hl=fr&rclk=1
ChIJ31w8xVhJ_RIR-HzUA6Ll8vo,lqnTr@ lqdym@ llqTr fwq wdy mlyn,,False,2,,lqnTr@ lqdym@ llqTr fwq wdy mlyn (proprietaire),,,Musee,Musee,5,,,,"Q75R+6FR lqnTr@ lqdym@ llqTr fwq wdy mlyn, arret de bus, Rades",,https://www.google.com/maps/place/%D8%A7%D9%84%D9%82%D9%86%D8%B7%D8%B1%D8%A9+%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85%D8%A9+%D9%84%D9%84%D9%82%D8%B7%D8%A7%D8%B1+%D9%81%D9%88%D9%82+%D9%88%D8%A7%D8%AF%D9%8A+%D9%85%D9%84%D9%8A%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fd4958c53c5cdf:0xfaf2e5a203d47cf8!8m2!3d36.7581012!4d10.2911418!16s%2Fg%2F11j1k77gbq!19sChIJ31w8xVhJ_RIR-HzUA6Ll8vo?authuser=0&hl=fr&rclk=1
