place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJnTcOhoA1_RIR9wsPhGCvoFM,Gare Barcelone mHTW@ brshlwn@,,False,64,,Gare Barcelone mHTW@ brshlwn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgnvRxmON0P8wAb0bjeyJdk5cV08H7oXw56kEE=w408-h544-k-no,Guichet de gare,Guichet de gare,3.3,,,,"Q5WJ+466 Gare Barcelone mHTW@ brshlwn@, Gare de Tunis, Rue Ali Darghouth, Tunis",,https://www.google.com/maps/place/Gare+Barcelone+%D9%85%D8%AD%D8%B7%D9%91%D8%A9+%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3580860e379d:0x53a0af60840f0bf7!8m2!3d36.7952755!4d10.1805121!16s%2Fg%2F11rd29phg_!19sChIJnTcOhoA1_RIR9wsPhGCvoFM?authuser=0&hl=fr&rclk=1
ChIJtx5DsQ80_RIRTpdxQy4sDOc,Gare Routiere Sud,,False,51,,Gare Routiere Sud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUzyQ0ECiP3lQiq9JJbJJ73zTYAoZYSFptbJFB=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Gare Routiere Sud, P1, Tunis",,https://www.google.com/maps/place/Gare+Routiere+Sud/data=!4m7!3m6!1s0x12fd340fb1431eb7:0xe70c2c2e4371974e!8m2!3d36.7875077!4d10.1796055!16s%2Fg%2F1trzscbd!19sChIJtx5DsQ80_RIRTpdxQy4sDOc?authuser=0&hl=fr&rclk=1
ChIJLTQWgt-04hIRcXPECs51JTw,Station-service Shell,,False,41,https://find.shell.com/tn/fuel/TN_10044673-gp-9,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/109129315253498262958,https://lh5.googleusercontent.com/p/AF1QipOF5APKBSqwJv9-SgFtjLlRJfFgkvPSzFybyl7r=w493-h240-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Sandwicherie",3.6,Ouvert 24h/24,,71 249 149,"Station-service Shell, P9 Gp 9 Km 10 Rte De, Marsa 2078",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12e2b4df8216342d:0x3c2575ce0ac47371!8m2!3d36.8677628!4d10.3053441!16s%2Fg%2F12qhbxv2c!19sChIJLTQWgt-04hIRcXPECs51JTw?authuser=0&hl=fr&rclk=1
ChIJtYo_a7a04hIRIZL21tQ8RKc,Carthage Hannibal,,False,33,,Carthage Hannibal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9KaR_p-YrzKXwl5M69NoqzJ0wEHTmO--38Ncg=w426-h240-k-no,Gare,Gare,3.8,,,,"Carthage Hannibal, Site archeologique de Carthage",,https://www.google.com/maps/place/Carthage+Hannibal/data=!4m7!3m6!1s0x12e2b4b66b3f8ab5:0xa7443cd4d6f69221!8m2!3d36.853423!4d10.3289416!16s%2Fg%2F1tjzmtkt!19sChIJtYo_a7a04hIRIZL21tQ8RKc?authuser=0&hl=fr&rclk=1
ChIJr33CYuYy_RIRedFrxd40XeY,Intilaka,,False,32,,Intilaka (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPLeK7DrCfg4wIsIyGPRXskanSK6K59eDs_0noI=w493-h240-k-no,Station de metro,Station de metro,3.6,,,,"Intilaka, Tunis",,https://www.google.com/maps/place/Intilaka/data=!4m7!3m6!1s0x12fd32e662c27daf:0xe65d34dec56bd179!8m2!3d36.8395838!4d10.1169626!16s%2Fg%2F1th840zv!19sChIJr33CYuYy_RIRedFrxd40XeY?authuser=0&hl=fr&rclk=1
ChIJX0tviqhP_RIROlJJ4N0qo74,Gare Borj Cedria,,False,29,,Gare Borj Cedria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMPkpPglb5U9QTmFViBo4KWe2phxxbGsG075enB=w408-h541-k-no,Gare,Gare,3.7,,,,"Gare Borj Cedria, P1, Borj Cedria",,https://www.google.com/maps/place/Gare+Borj+Cedria/data=!4m7!3m6!1s0x12fd4fa88a6f4b5f:0xbea32adde049523a!8m2!3d36.7036553!4d10.3976718!16s%2Fg%2F1thpb2r7!19sChIJX0tviqhP_RIROlJJ4N0qo74?authuser=0&hl=fr&rclk=1
ChIJOSsoZ3c0_RIRj30JiDO359U,Station Bus Ali Balhouene,,False,17,,Station Bus Ali Balhouene (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFCA6Eare0U9s7ehifb4MsRxBDBPL0NgZi9tOs=w408-h306-k-no,Gare routiere,Gare routiere,2.8,,,,"Station Bus Ali Balhouene, Rue Bab El Khadra, Tunis",,https://www.google.com/maps/place/Station+Bus+Ali+Balhouene/data=!4m7!3m6!1s0x12fd347767282b39:0xd5e7b73388097d8f!8m2!3d36.8066135!4d10.1743527!16s%2Fg%2F1hc1l8dlf!19sChIJOSsoZ3c0_RIRj30JiDO359U?authuser=0&hl=fr&rclk=1
ChIJSZXbjFE2_RIRiYDLcvQ_0eI,Shell,,False,15,https://find.shell.com/tn/fuel/TN_10044688-sortie-sud,Shell (proprietaire),https://www.google.com/maps/contrib/114535968978130607015,https://lh5.googleusercontent.com/p/AF1QipN6mifkW4Zj4uwF9rSMQLyWImmISTsDGehSDQ5W=w408-h543-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Restauration rapide, Pizzas a emporter, Restaurant, Sandwicherie",3.9,Ouvert 24h/24,,71 249 149,"Shell, Highway A1 Bir El Kassaa Sortie Sud, 2013",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd36518cdb9549:0xe2d13ff472cb8089!8m2!3d36.7335136!4d10.2246205!16s%2Fg%2F11c2klt8zk!19sChIJSZXbjFE2_RIRiYDLcvQ_0eI?authuser=0&hl=fr&rclk=1
ChIJUyOuHUU2_RIRW1ia811Hyv8,Bir Kassaa,,False,11,,Bir Kassaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPOrzSicnWx6eazfMHLfTfQxGcuZcXYceEyGs1Q=w408-h544-k-no,Gare,Gare,3.6,,,,"Bir Kassaa, Ben Arous",,https://www.google.com/maps/place/Bir+Kassaa/data=!4m7!3m6!1s0x12fd36451dae2353:0xffca475df39a585b!8m2!3d36.7410163!4d10.2282554!16s%2Fg%2F1xtdzs_l!19sChIJUyOuHUU2_RIRW1ia811Hyv8?authuser=0&hl=fr&rclk=1
ChIJXy3HRnA0_RIRwsOecifh3D0,Station Tcv Passage,,False,10,,Station Tcv Passage (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OHZ1MixCKL8sOz40_5-1vA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.46555&pitch=0&thumbfov=100,Societe de transport en bus et autocar,Societe de transport en bus et autocar,2.5,,,26 009 085,"R53H+VW3 Station Tcv Passage, Tunis",,https://www.google.com/maps/place/Station+Tcv+Passage/data=!4m7!3m6!1s0x12fd347046c72d5f:0x3ddce127729ec3c2!8m2!3d36.8046361!4d10.1798043!16s%2Fg%2F11cs32pxmg!19sChIJXy3HRnA0_RIRwsOecifh3D0?authuser=0&hl=fr&rclk=1
ChIJhxtIY_BQ_RIRJM3GPwdEcM0,Station Bus SRTGN,,False,7,,Station Bus SRTGN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwD7fmz7uz4ZlNAgXrTUpKxqf_bmHGTPX5O86g=w408-h306-k-no,Gare routiere,Gare routiere,3.3,,,,"Station Bus SRTGN, Avenue de la Republique, C26, Sulayman",,https://www.google.com/maps/place/Station+Bus+SRTGN/data=!4m7!3m6!1s0x12fd50f063481b87:0xcd7044073fc6cd24!8m2!3d36.6932053!4d10.4933088!16s%2Fg%2F1hhwc8trl!19sChIJhxtIY_BQ_RIRJM3GPwdEcM0?authuser=0&hl=fr&rclk=1
ChIJPUt_CpyqAhMRBlCPnc6tkWQ,mHT@ by'r mrw@,,False,6,,mHT@ by'r mrw@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO8XcKKhigGH3Zgkmv3gDDZvzvvbxvLNuWcOZVP=w426-h240-k-no,Arret de bus,Arret de bus,2.8,,,,"mHT@ by'r mrw@, C26, Taklisah",,https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A8%D8%A6%D8%B1+%D9%85%D8%B1%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1302aa9c0a7f4b3d:0x6491adce9d8f5006!8m2!3d36.7929064!4d10.6252813!16s%2Fg%2F1q67jg8bx!19sChIJPUt_CpyqAhMRBlCPnc6tkWQ?authuser=0&hl=fr&rclk=1
ChIJb7XYYGk0_RIRMHrKpMdiPRc,Louage Station Tunis-Marsa,,False,6,,Louage Station Tunis-Marsa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN1cONyOA5soWgFWlbs2Uh22MtuZw5cAPVKT6h_=w408-h306-k-no,Service de taxi minibus,Service de taxi minibus,4,,,,"R52Q+8FG Louage Station Tunis-Marsa, Tunis",,https://www.google.com/maps/place/Louage+Station+Tunis-Marsa/data=!4m7!3m6!1s0x12fd346960d8b56f:0x173d62c7a4ca7a30!8m2!3d36.8008186!4d10.1887059!16s%2Fg%2F11gbk4g63d!19sChIJb7XYYGk0_RIRMHrKpMdiPRc?authuser=0&hl=fr&rclk=1
ChIJFxdCOydY_RIRqPgjY5L64RU,station Bus de la SRTGN,,False,5,,station Bus de la SRTGN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO-7xcZAJzUJb895IukSDWCfIcwk5X3laJTDOXb=w408-h544-k-no,Gare routiere,Gare routiere,2,,,,"station Bus de la SRTGN, C42, Beni Khalled",,https://www.google.com/maps/place/station+Bus+de+la+SRTGN/data=!4m7!3m6!1s0x12fd58273b421717:0x15e1fa926323f8a8!8m2!3d36.6513391!4d10.5905145!16s%2Fg%2F11g_9nybt!19sChIJFxdCOydY_RIRqPgjY5L64RU?authuser=0&hl=fr&rclk=1
ChIJv2_vXpAz_RIR1hrYUmF6kYM,Bus Station Bab Saadoun,,False,5,,Bus Station Bab Saadoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPOpZCIFonP0ziwfROfu3R4vVF9WzihRE8Pix_X=w426-h240-k-no,Service de transport,Service de transport,3.6,,,,"R563+886 Bus Station Bab Saadoun, Tunis",,https://www.google.com/maps/place/Bus+Station+Bab+Saadoun/data=!4m7!3m6!1s0x12fd33905eef6fbf:0x83917a6152d81ad6!8m2!3d36.8107858!4d10.1532578!16s%2Fg%2F11t86cfxgb!19sChIJv2_vXpAz_RIR1hrYUmF6kYM?authuser=0&hl=fr&rclk=1
ChIJmRwMOWsy_RIRnlOFxedQ-vM,Station Transport en Commun La Manouba,,False,5,,Station Transport en Commun La Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNhohJYkg-EVbj-xv4oIYRQYb8NTMGdMVWc0TwU=w408-h726-k-no,Gare routiere,Gare routiere,4,,,,"Station Transport en Commun La Manouba, Manouba 2010",,https://www.google.com/maps/place/Station+Transport+en+Commun+La+Manouba/data=!4m7!3m6!1s0x12fd326b390c1c99:0xf3fa50e7c585539e!8m2!3d36.8037112!4d10.0994464!16s%2Fg%2F1tf4h3kw!19sChIJmRwMOWsy_RIRnlOFxedQ-vM?authuser=0&hl=fr&rclk=1
ChIJ6XhDwnE1_RIRAlwWvbRsUys,Station Nelson-Mandela direction Place de la Republique,,False,4,https://www.transtu.tn/fr/,Station Nelson-Mandela direction Place de la Republique (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xbpuTDUngtjbY14NA2bNXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.06757&pitch=0&thumbfov=100,Service de transport,Service de transport,4.3,,,,"Station Nelson-Mandela direction Place de la Republique, 44 Rue Nelson Mandela, Tunis 1002",,https://www.google.com/maps/place/Station+Nelson-Mandela+direction+Place+de+la+R%C3%A9publique/data=!4m7!3m6!1s0x12fd3571c24378e9:0x2b536cb4bd165c02!8m2!3d36.811233!4d10.1825466!16s%2Fg%2F11pz_wdmnf!19sChIJ6XhDwnE1_RIRAlwWvbRsUys?authuser=0&hl=fr&rclk=1
ChIJjw8VZdI1_RIRkfDIX4x5OYA,Station Palestine (direction : Ariana),,False,4,https://www.transtu.tn/fr/,Station Palestine (direction : Ariana) (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TMCTQioSGHd7UINQ3WLkpg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.117&pitch=0&thumbfov=100,Compagnie de transport ferroviaire,Compagnie de transport ferroviaire,3.8,,,,"Station Palestine (direction : Ariana), 95 Rue de La Palestine, Jeanne d'Arc 1002",,https://www.google.com/maps/place/Station+Palestine+%28direction+:+Ariana%29/data=!4m7!3m6!1s0x12fd35d265150f8f:0x8039798c5fc8f091!8m2!3d36.8201156!4d10.1821764!16s%2Fg%2F11spznkrs7!19sChIJjw8VZdI1_RIRkfDIX4x5OYA?authuser=0&hl=fr&rclk=1
